Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
1,13:48.92,13:49.03,14:52.87,14:55.22,23:41.02,23:41.43,51:46.31,2:07.88,2:09.39,2:59.75,3:01.74,3:54.51,3:57.03,6:20.04,6:21.12,6:49.66,6:49.79,8:41.22,8:41.34,10:50.11,16:44.77
2,13:44.33,13:44.49,14:47.93,14:50.34,23:33.16,23:33.73,51:28.21,2:07.22,2:08.73,2:58.82,3:00.81,3:53.27,3:55.80,6:17.98,6:19.09,6:47.45,6:47.63,8:38.42,8:38.59,10:46.01,16:38.47
3,13:40.81,13:41.01,14:44.14,14:46.60,23:27.13,23:27.83,51:14.33,2:06.71,2:08.22,2:58.10,3:00.10,3:52.33,3:54.86,6:16.41,6:17.54,6:45.75,6:45.98,8:36.27,8:36.47,10:42.87,16:33.63
4,13:37.84,13:38.07,14:40.94,14:43.44,23:22.05,23:22.86,51:02.62,2:06.27,2:07.79,2:57.50,2:59.49,3:51.53,3:54.07,6:15.08,6:16.24,6:44.32,6:44.58,8:34.45,8:34.69,10:40.22,16:29.55
5,13:35.23,13:35.48,14:38.13,14:40.66,23:17.57,23:18.47,50:52.31,2:05.89,2:07.41,2:56.97,2:58.96,3:50.82,3:53.37,6:13.91,6:15.08,6:43.06,6:43.35,8:32.85,8:33.12,10:37.89,16:25.96
6,13:32.86,13:33.14,14:35.58,14:38.15,23:13.52,23:14.51,50:42.99,2:05.55,2:07.07,2:56.49,2:58.48,3:50.19,3:52.74,6:12.85,6:14.04,6:41.92,6:42.24,8:31.41,8:31.70,10:35.78,16:22.71
7,13:30.69,13:30.99,14:33.24,14:35.84,23:09.80,23:10.86,50:34.41,2:05.23,2:06.76,2:56.05,2:58.04,3:49.60,3:52.16,6:11.87,6:13.09,6:40.87,6:41.22,8:30.08,8:30.40,10:33.84,16:19.72
8,13:28.66,13:28.99,14:31.06,14:33.68,23:06.33,23:07.47,50:26.43,2:04.94,2:06.47,2:55.64,2:57.63,3:49.05,3:51.61,6:10.97,6:12.19,6:39.90,6:40.27,8:28.84,8:29.18,10:32.03,16:16.94
9,13:26.76,13:27.11,14:29.01,14:31.66,23:03.08,23:04.29,50:18.94,2:04.66,2:06.19,2:55.25,2:57.24,3:48.54,3:51.11,6:10.12,6:11.36,6:38.98,6:39.38,8:27.68,8:28.04,10:30.33,16:14.33
10,13:24.97,13:25.33,14:27.08,14:29.75,23:00.00,23:01.27,50:11.85,2:04.40,2:05.93,2:54.89,2:56.88,3:48.06,3:50.63,6:09.31,6:10.56,6:38.12,6:38.53,8:26.58,8:26.96,10:28.73,16:11.86
11,13:23.26,13:23.64,14:25.24,14:27.94,22:57.07,22:58.41,50:05.11,2:04.15,2:05.68,2:54.54,2:56.53,3:47.60,3:50.17,6:08.55,6:09.81,6:37.29,6:37.73,8:25.54,8:25.93,10:27.20,16:09.51
12,13:21.62,13:22.02,14:23.48,14:26.20,22:54.27,22:55.67,49:58.67,2:03.92,2:05.45,2:54.21,2:56.20,3:47.16,3:49.73,6:07.82,6:09.09,6:36.50,6:36.96,8:24.54,8:24.95,10:25.75,16:07.27
13,13:20.06,13:20.47,14:21.79,14:24.53,22:51.59,22:53.04,49:52.49,2:03.69,2:05.22,2:53.89,2:55.88,3:46.74,3:49.31,6:07.11,6:08.40,6:35.75,6:36.23,8:23.58,8:24.01,10:24.35,16:05.11
14,13:18.55,13:18.98,14:20.17,14:22.93,22:49.00,22:50.51,49:46.54,2:03.47,2:05.00,2:53.59,2:55.57,3:46.33,3:48.91,6:06.44,6:07.74,6:35.02,6:35.52,8:22.66,8:23.11,10:23.00,16:03.04
15,13:17.09,13:17.54,14:18.60,14:21.38,22:46.51,22:48.08,49:40.80,2:03.26,2:04.79,2:53.29,2:55.28,3:45.94,3:48.52,6:05.79,6:07.10,6:34.32,6:34.83,8:21.77,8:22.23,10:21.70,16:01.04
16,13:15.69,13:16.15,14:17.09,14:19.89,22:44.10,22:45.72,49:35.25,2:03.05,2:04.59,2:53.01,2:54.99,3:45.56,3:48.14,6:05.16,6:06.48,6:33.64,6:34.17,8:20.91,8:21.39,10:20.45,15:59.11
17,13:14.32,13:14.80,14:15.62,14:18.44,22:41.77,22:43.43,49:29.88,2:02.86,2:04.39,2:52.73,2:54.71,3:45.19,3:47.78,6:04.55,6:05.88,6:32.99,6:33.53,8:20.08,8:20.57,10:19.23,15:57.23
